title,ingredients,directions,NER
Peanut Butter Punch,"[""1 jar peanut butter"", ""1 c. sugar or honey"", ""1/2 gal. milk""]","[""Put 2 large spoonfuls of peanut butter in blender with sugar or honey and milk."", ""Mix until all ingredients are blended and pour into cups.""]","[""peanut butter"", ""sugar"", ""milk""]"
Edible Play Dough,"[""1 c. peanut butter"", ""1 c. honey"", ""1 1/4 c. powdered milk""]","[""Mix all ingredients with rubber spatula until a ball forms. Store in wax paper."", ""Raisins, nuts, M&M's and chocolate chips may be used to decorate with.""]","[""peanut butter"", ""honey"", ""powdered milk""]"
Doctor Janice'S Doodle Mix,"[""2 c. small round pretzels"", ""2 c. pecans or peanuts"", ""2 c. peanut butter Cap'n Crunch cereal"", ""2 c. Honeycomb cereal or honey nut Cheerios""]","[""Melt 2 pounds white almond bark and stir in above mix."", ""Spread immediately onto wax paper."", ""Break apart when cooled.""]","[""pretzels"", ""pecans"", ""peanut butter"", ""cereal""]"
Grape Butter,"[""2 c. grapes, removed from stem"", ""2 c. sugar""]","[""Into a large heavy kettle, place grapes and sugar. Bring to a boil, stirring often. Boil rapidly 20 minutes."", ""Put hot mixture through a sieve."", ""Ladle into jars and seal.""]","[""grapes"", ""sugar""]"
Stuffed Apples,"[""apples"", ""peanut butter""]","[""Slice apples in half."", ""Cut out core."", ""Spread the peanut butter inside and eat.""]","[""apples"", ""peanut butter""]"
Party Punch,"[""2 pkg. Kool-Aid (use flavors that suit you)"", ""3 c. sugar"", ""1 large can unsweetened pineapple juice"", ""1 small can frozen orange juice""]","[""Dissolve Kool-Aid in hot water, put in sugar and dissolve. Mix pineapple juice and orange juice."", ""Add water to make one gallon."", ""Serve with pineapple or orange sherbet.""]","[""sugar"", ""pineapple juice"", ""orange juice""]"
Party Mix,"[""1 bag plain M&M's"", ""1 medium can salted peanuts"", ""1 medium box raisins"", ""9 oz. box Pepperidge Farm Goldfish""]","[""Mix together and serve.""]","[""peanuts"", ""raisins""]"
Banana Chips,"[""bananas"", ""sugar (regular)""]","[""Slice bananas very thin. Sprinkle with sugar. Bake in oven on cookie sheet at 350\u00b0 until crisp.""]","[""bananas"", ""sugar""]"
Banana Roll,"[""3 bananas"", ""1/4 c. peanut butter"", ""1/4 c. coconut""]","[""Peel and cut bananas in half lengthwise or slice."", ""Spread with peanut butter."", ""Roll in coconut and chill until served."", ""Makes 6 servings.""]","[""bananas"", ""peanut butter"", ""coconut""]"
Chocolate Eclair Cake,"[""1 box graham crackers"", ""3 1/2 c. milk"", ""1 (9 oz.) container Cool Whip"", ""2 (3 oz.) pkg. French vanilla instant pudding""]","[""Line bottom of 9 x 13-inch pan with graham crackers."", ""Beat milk and pudding mix until thick; add Cool Whip."", ""Spread half of the pudding mixture over the graham crackers."", ""Add another layer of graham crackers."", ""Add the remaining pudding on top of the second layer."", ""Add third layer of graham crackers.""]","[""graham crackers"", ""milk""]"
Self-Filled Cupcakes,"[""1 pkg. chocolate cake mix (2-layer size)""]","[""Mix cake according to directions."", ""Fill paper cups in pans 1/2 to 2/3 full.""]","[""chocolate cake""]"
Ding Dong Cake,"[""1 Duncan Hines chocolate cake mix""]","[""Mix as package says and pour in 2 round pans.""]","[""chocolate cake""]"
White Chocolate Crispy Treats,"[""16 oz. white chocolate"", ""4 Tbsp. peanut butter"", ""2 c. dry roasted peanuts"", ""1 c. rice crispy cereal"", ""2 c. mini marshmallows""]","[""Melt white chocolate in double boiler over medium heat."", ""Add peanut butter."", ""Stir as needed."", ""Remove from heat."", ""Combine nuts and crisp cereal in a bowl."", ""Pour melted chocolate and peanut butter over mixture; stir in marshmallows."", ""Use a teaspoonful to drop small amount of mixture onto wax paper; let cool.""]","[""white chocolate"", ""peanut butter"", ""peanuts"", ""rice"", ""marshmallows""]"
Era'S Shipwreck Cake,"[""1 c. chopped pecans"", ""1 c. coconut"", ""1 German chocolate cake mix""]","[""Grease and flour a 9 x 13-inch pan."", ""Spread in the pan the chopped pecans and coconut."", ""Mix the cake according to directions and spread on top of nuts and coconut.""]","[""pecans"", ""coconut"", ""chocolate cake""]"
Chocolate Eclair Pie,"[""2 small pkg. French vanilla pudding"", ""3 c. milk"", ""1 (8 oz.) Cool Whip"", ""1 box graham crackers""]","[""Mix together pudding and milk."", ""Blend in Cool Whip."", ""In a 9 x 13-inch dish, layer graham crackers (do not crush); then add pudding mixture."", ""Repeat until you've made 3 layers, finishing up with crackers on top.""]","[""milk"", ""graham crackers""]"
Holiday Relish,"[""1 pkg. cranberries"", ""2 oranges with peel"", ""1 c. chopped pecans"", ""1 to 1 1/2 c. sugar""]","[""Quarter oranges and seed."", ""Leave peeling on oranges."", ""Chop or grind cranberries, oranges and pecans."", ""Add sugar and blend. Refrigerate in covered bowl for at least 4 hours before serving. Can be frozen."", ""Serves 6 to 8."", ""Great for the holidays.""]","[""cranberries"", ""oranges"", ""pecans"", ""sugar""]"
Chunky Applesauce,"[""6 apples"", ""sugar""]","[""Wash, peel and quarter apples. Cook until soft in covered saucepan, using just enough water to keep from scorching. Stir occasionally during cooking. Break up quarters with fork and sweeten to taste with sugar.""]","[""apples"", ""sugar""]"
Peanut Butter Fudge,"[""2 c. sugar"", ""1 c. milk"", ""12 oz. (1 1/2 c.) peanut butter""]","[""Cook milk and sugar until a soft ball forms when a drop is put in cold water."", ""Remove from flame. Add peanut butter and mix well. Pour into an 8 x 10-inch pan to cool.""]","[""sugar"", ""milk"", ""peanut butter""]"
Pineapple Slush,"[""1 (5 1/4 oz.) can pineapple chunks, drained"", ""1 medium banana, chilled"", ""1/4 c. milk"", ""2 c. pineapple sherbet""]","[""Combine all ingredients in blender until smooth.""]","[""pineapple"", ""banana"", ""milk"", ""pineapple""]"
Canzadia'S Fruit Salad,"[""1 c. apple, cubed"", ""2 oranges"", ""3 bananas"", ""1/4 lb. grapes"", ""4 slices pineapple, reserve 1/4 c. juice"", ""1/4 c. pecans""]","[""Cut up the fruit and nuts.""]","[""apple"", ""oranges"", ""bananas"", ""grapes"", ""pineapple"", ""pecans""]"
Peanut Butter Cheese Cake,"[""1 Jell-O instant cheesecake mix"", ""1 c. peanut butter""]","[""Follow directions for instant cheesecake, adding the peanut butter to filling mix. Chill and cut into small squares. Very rich, but heavenly taste.""]","[""peanut butter""]"
Bean Salad,"[""1 can green beans"", ""1 can kidney beans"", ""1 can waxed beans""]","[""Drain all three beans and mix with Italian dressing."", ""Serve cold.""]","[""green beans"", ""kidney beans"", ""beans""]"
Putting On The Ritz,"[""1 1/2 c. pecans"", ""1 (8 oz.) pkg. diced dates"", ""1 can Eagle Brand milk""]","[""Stir and cook until it boils and thickens."", ""Beat by hand a few strokes and put on Ritz crackers."", ""Bake in 350\u00b0 oven for 8 minutes and cool.""]","[""pecans"", ""dates"", ""milk""]"
Orange-Pineapple Slush,"[""1 c. orange juice"", ""1/2 c. pineapple juice"", ""1 tsp. honey""]","[""Combine all ingredients, stirring well to blend."", ""Pour mixture into a freezer tray or an 8-inch square baking pan and freeze until almost firm.""]","[""orange juice"", ""pineapple juice"", ""honey""]"
Orange Delight,"[""1 lb. cottage cheese"", ""1 (12 oz.) can crushed pineapple, drained"", ""1 can Mandarin oranges"", ""1 box sugar-free orange Jell-O""]","[""In large bowl, fold in cottage cheese, pineapple and oranges (drained)."", ""Chill."", ""Mix until blended."", ""Sprinkle dry Jell-O on top and serve.""]","[""cottage cheese"", ""pineapple"", ""oranges"", ""sugar""]"
Grape Wine,"[""1 qt. grapes"", ""3 lb. sugar""]","[""Place in big-mouth gallon jar."", ""Cover with cloth and leave until fermented, then squeeze through sieve and strain through rag."", ""Takes about 2 1/2 months.""]","[""grapes"", ""sugar""]"
Sourdough Starter,"[""1 c. milk"", ""1 c. flour""]","[""Put milk in a shallow pan, covered with screen or cheesecloth and let stand at room temperature for 24 hours."", ""Place in quart jar and stir in flour."", ""Let stand at room temperature (warm) for 2 to 5 days until very bubbly."", ""When it has a good sour aroma and bubbles subside, it is ready for use."", ""You may wish to catch another wild yeast if your first one is not active enough or to get a slightly different flavor."", ""It may be kept ready for use in the refrigerator for several weeks before it is necessary to use it and refresh it.""]","[""milk"", ""flour""]"
Canned Grape Juice,"[""grapes"", ""sugar""]","[""Wash grapes and remove stems."", ""Put 1 cup of grapes and 1/2 cup sugar in a quart jar."", ""Fill jar with hot water."", ""Seal the jars and process in pressure canner at 5 pounds pressure for 8 minutes.""]","[""grapes"", ""sugar""]"
Fat Lady Delight,"[""1 large can pineapple, crushed"", ""2 boxes Jell-O sugar free orange"", ""1 (8 oz.) fat free cottage cheese"", ""1 (8 oz.) lite Cool Whip""]","[""Mix Jell-O and pineapple until dissolved."", ""Add cottage cheese and Cool Whip."", ""Refrigerate.""]","[""pineapple"", ""orange"", ""cottage cheese""]"
White Chocolate Peanut Butter Fudge,"[""2 lb. white chocolate"", ""2 Hershey bars (regular size)"", ""12 oz. peanut butter""]","[""Melt white chocolate and mix with peanut butter."", ""Melt Hershey bars and swirl into mixture."", ""Let cool and cut into small squares.""]","[""white chocolate"", ""peanut butter""]"
Peanut Butter Icing,"[""1 c. 4x sugar"", ""1/3 c. peanut butter"", ""4 to 8 Tbsp. milk (I use 3 or 4)""]","[""Mix together ingredients."", ""Ice peanut butter cookies when mixed thoroughly.""]","[""peanut butter"", ""milk""]"
Easy Dumplings,"[""2 c. self-rising flour"", ""1 c. milk""]","[""Mix ingredients together, pouring milk slowly into flour."", ""May not need a full cup."", ""Roll out on floured board."", ""Cut in pieces. Drop into boiling chicken broth.""]","[""flour"", ""milk""]"
Easy Canned Grape Juice,"[""Concord grapes"", ""sugar""]","[""Wash Concord grapes; pick from stems."", ""Into a clean quart jar, put 1 to 2 cups grapes."", ""(I usually use 1 1/2 cups grapes.)"", ""Do not skin or seed."", ""Add 3/4 to 1 cup sugar."", ""Fill jar to overflowing with boiling hot water; partially seal."", ""Process in 275\u00b0 oven for 30 minutes; complete the seal."", ""The juice is ready to drink after 6 weeks standing."", ""Strain the grapes from the liquid."", ""You can eat the grapes or make a pie out of them."", ""The juice has a particularly fresh sparkling flavor."", ""(This is a 50's recipe from high school economics book.)""]","[""grapes"", ""sugar""]"
Tiger Butter,"[""1 lb. melted white chocolate"", ""1/2 c. peanut butter"", ""1 lb. melted chocolate""]","[""Mix white chocolate and peanut butter together and pour onto wax paper."", ""Spoon melted chocolate over white chocolate mixture and marbleize with knife."", ""Let cool; break into pieces or cut into squares."", ""Melt chocolates in microwave oven."", ""Very easy and delicious.""]","[""white chocolate"", ""peanut butter"", ""chocolate""]"
Sheet Cake,"[""1 box Betty Crocker German chocolate SuperMoist cake mix""]","[""Use a 9 x 15 jelly roll pan. Prepare cake mix, following directions on box.""]","[""chocolate""]"
Strawberry Pineapple Punch,"[""2 pkg. strawberry Kool-Aid"", ""2 c. sugar"", ""1 qt. can unsweetened pineapple juice""]","[""Mix Kool-Aid and sugar in a gallon container and add pineapple juice and water to fill the container.""]","[""strawberry"", ""sugar"", ""pineapple juice""]"
Honey-Avocado Butter,"[""1 medium to large soft avocado, peeled, seeded and mashed"", ""1/3 c. mild flavored honey""]","[""Blend or whip avocado and honey."", ""Cover mixture with plastic wrap placed directly on surface of the spread."", ""Refrigerate until well chilled."", ""Delicious on hot cornmeal muffins or English muffins.""]","[""avocado"", ""honey""]"
Glazed Fruit Dessert(Serves 6)  ,"[""1 (3.4 oz.) pkg. instant vanilla pudding mix"", ""1 (20 oz.) can crushed pineapple or pineapple chunks, liquid drained and saved"", ""1 (11 oz.) can Mandarin oranges, drained"", ""2 bananas, sliced""]","[""In a mixing bowl, combine pudding and pineapple juice."", ""Stir until thickened."", ""Fold in oranges, pineapple and bananas. Refrigerate until serving."", ""Garnish with a dollop of whipped topping.""]","[""pineapple"", ""oranges"", ""bananas""]"
Party Dip,"[""1 (8 oz.) nonfat plain yogurt"", ""1 (2 oz.) pkg. dry light or reduced calorie Ranch dip mix""]","[""Mix and serve."", ""Store in refrigerator."", ""Makes 16 tablespoons. Per tablespoon:"", ""18 calories, 0.5 mg cholesterol, 0.03 g fat, 247 mg Na.""]","[""yogurt""]"
Easy Chocolate Pie,"[""6 small Hershey almond candy bars"", ""1/2 c. milk"", ""16 large marshmallows"", ""1 small Cool Whip""]","[""Melt first 3 ingredients in double boiler until smooth."", ""Let cool."", ""Add Cool Whip."", ""Pour into baked pie shell.""]","[""milk"", ""marshmallows""]"
Festive Punch,"[""5 c. pineapple juice"", ""1 (24 oz.) bottle sparkling apple juice or champagne""]","[""Chill ingredients."", ""Combine in punch bowl."", ""Float ice mold in punch when ready to serve.""]","[""pineapple juice"", ""apple juice""]"
Cranberry Relish,"[""1 bag cranberries"", ""2 oranges (1/2 with peel)"", ""3 apples with peel"", ""1 can crushed pineapple"", ""1 c. sugar (to taste)""]","[""Grind together and add sugar."", ""Mix well.""]","[""cranberries"", ""oranges"", ""apples"", ""pineapple"", ""sugar""]"
Cherry Or Strawberry Salad,"[""1 large carton Cool Whip"", ""1 can Eagle Brand milk"", ""1 small can crushed pineapple"", ""1 can cherry or strawberry pie filling""]","[""Drain pineapple."", ""Mix everything together well and freeze. Keep frozen.""]","[""milk"", ""pineapple"", ""cherry""]"
Good Salad,"[""1 lb. cottage cheese"", ""1 pkg. pecans, crushed (not too fine)"", ""1 family size or 2 small boxes strawberry and banana jello"", ""1 medium can crushed pineapple""]","[""Dissolve jello in 3 cups of water instead of 4."", ""Add the cottage cheese and other ingredients."", ""Cut in squares and serve on lettuce leaf with mayonnaise on top.""]","[""cottage cheese"", ""pecans"", ""strawberry"", ""pineapple""]"
Paralee Sargent'S Strawberry Salad,"[""1 large can crushed pineapple"", ""2 small pkg. strawberry Jell-O"", ""1 large carton cottage cheese"", ""1 large carton Cool Whip""]","[""Put pineapple in pan."", ""Let come to a boil."", ""Add Jell-O."", ""Let it thicken."", ""Fold in gently large cottage cheese."", ""Add Cool Whip. Refrigerate to congeal.""]","[""pineapple"", ""strawberry"", ""cottage cheese""]"
Chocolate Eclair Cake,"[""graham crackers"", ""1 (6 oz.) box instant French vanilla pudding"", ""3 c. milk"", ""1 (8 oz.) carton Cool Whip""]","[""Butter a 13 x 9-inch pan; line with honey graham crackers. Mix pudding with the milk."", ""Beat 2 minutes and fold in Cool Whip. Pour a layer of pudding over crackers."", ""Add another layer of crackers, then another layer of pudding."", ""Top with a layer of crackers."", ""Frost with Fudge Frosting."", ""Refrigerate.""]","[""graham crackers"", ""milk""]"
French Fried Carrots,"[""1 (2 lb.) bag carrots""]","[""Peel and cut in half; drop in hot grease in \""Fry Daddy\"" or deep fryer."", ""Cook as you would French fried potatoes.""]","[""carrots""]"
Kool-Aid Pie,"[""1 (16 oz.) Cool Whip"", ""1 can Eagle Brand condensed milk"", ""1 pkg. Kool-Aid (strawberry or cherry)"", ""1/2 pkg. lemonade Kool-Aid""]","[""Mix together Cool Whip and condensed milk. Sprinkle Kool-Aid on top and stir until firm. Put in baked pie shell and refrigerate.""]","[""milk"", ""strawberry""]"
Tiger Paws,"[""4 c. broken pretzels"", ""2 c. peanuts"", ""4 c. peanut butter flavored Cap'n Crunch cereal"", ""1 lb. pkg. white chocolate""]","[""Melt white chocolate and pour over other ingredients."", ""Stir until all coated."", ""Drop by spoonfuls on wax paper."", ""Makes 5 to 6 dozen.""]","[""pretzels"", ""peanuts"", ""peanut butter"", ""white chocolate""]"
